Price,Manufacturer,Prod. year,Category,Leather interior,Fuel type,Engine volume,Mileage,Cylinders,Gear box type,Drive wheels,Doors,Wheel,Color,Airbags
13328,32,2010,4,1,2,3.5,186005,6.0,0,0,1,0,12,12
16621,8,2011,4,0,5,3.0,192000,6.0,2,0,1,0,1,8
8467,21,2006,3,0,5,1.3,200000,4.0,3,1,1,1,1,2
3607,16,2011,4,1,2,2.5,168966,4.0,0,0,1,0,14,0
11726,21,2014,3,1,5,1.3,91901,4.0,0,1,1,0,12,4
39493,23,2016,4,1,1,2.0,160931,4.0,0,1,1,0,14,4
1803,58,2010,3,1,2,1.8,258909,4.0,0,1,1,0,14,12
549,23,2013,9,1,5,2.4,216118,4.0,0,1,1,0,7,12
1098,58,2014,9,1,2,2.5,398069,4.0,0,1,1,0,1,12
26657,32,2007,4,1,5,3.5,128500,6.0,0,0,1,0,12,12
941,36,2014,9,1,1,3.5,184467,6.0,0,2,1,0,14,12
8781,16,1999,6,0,0,4.0,0,8.0,1,2,0,0,2,0
3000,42,1997,2,0,0,1.6,350000,4.0,1,1,1,0,14,4
1019,32,2013,4,1,2,3.5,138038,6.0,0,1,1,0,14,12
59464,23,2016,4,1,1,2.0,76000,4.0,0,1,1,0,14,4
549,58,2018,4,1,5,2.0,74146,4.0,0,1,1,0,14,12
7683,23,2016,9,1,5,1.8,121840,4.0,0,1,1,0,2,12
28382,23,2016,9,1,5,1.8,54317,4.0,0,1,1,0,14,4
549,23,2006,9,1,5,3.3,295059,6.0,0,2,1,0,2,12
941,32,2008,4,1,2,3.5,364523,6.0,0,0,1,0,1,12
18826,23,2012,9,1,5,1.6,112645,4.0,0,1,1,0,12,4
20698,58,2012,9,1,6,1.8,187000,4.0,0,1,1,0,14,12
17562,58,2017,9,1,5,2.5,39709,4.0,0,1,1,0,1,12
7840,16,2001,6,0,1,2.0,230000,4.0,1,1,0,0,14,0
4704,42,1995,9,0,5,1.8,0,4.0,0,1,1,0,6,4
20385,36,2006,9,1,1,2.2,210000,4.0,2,2,1,0,1,8
549,32,2008,4,1,5,4.7,0,8.0,0,0,1,0,14,0
30,58,2008,9,0,2,1.5,169000,4.0,0,1,1,0,14,8
14454,23,2011,9,1,5,1.6,158787,4.0,0,1,1,0,12,4
12074,58,2009,4,1,2,3.3,420550,6.0,0,0,1,0,2,12
15681,36,2007,2,0,1,2.0,180000,6.0,1,2,1,0,14,4
19444,45,2014,4,1,1,3.0,175056,6.0,0,0,1,0,14,12
6899,5,2000,4,1,0,4.4,200000,8.0,0,0,1,0,12,6
125,58,2008,9,1,2,3.3,287274,6.0,0,0,1,0,14,12
24462,27,2007,4,1,1,3.0,250000,6.0,2,0,1,0,1,10
23235,23,2011,4,1,1,2.0,162000,4.0,0,1,1,0,7,4
51746,58,2019,4,0,5,2.0,10200,4.0,2,1,1,0,11,12
7527,21,2010,3,0,2,1.3,158000,4.0,0,1,1,1,1,4
19121,23,2012,9,1,5,1.6,103490,4.0,0,1,1,0,12,4
314,32,2010,4,1,2,3.5,382746,6.0,0,0,1,0,12,12
24462,58,2013,9,1,5,2.4,203200,4.0,0,1,1,0,2,4
45734,23,2016,10,1,1,2.5,61057,4.0,0,1,1,0,1,4
20165,61,2016,9,1,5,1.4,11200,4.0,2,1,1,0,1,8
21326,23,2014,9,1,2,2.4,141000,4.0,2,1,1,0,14,12
549,45,2010,4,1,5,3.6,160259,6.0,0,0,1,0,12,12
220,58,2013,4,1,5,4.0,239342,6.0,0,0,1,0,12,12
15681,58,2012,3,0,2,1.5,128000,4.0,3,1,1,0,13,8
55390,23,2017,4,1,1,2.0,100734,4.0,0,1,1,0,1,4
12544,58,2012,3,0,2,1.5,141500,4.0,0,1,1,1,1,8
17249,16,2008,4,0,2,2.3,147000,4.0,3,0,1,0,14,8
34889,21,2016,9,1,5,2.0,87768,4.0,0,1,1,0,2,4
862,3,2015,4,1,5,3.0,264014,6.0,0,0,1,0,1,0
14583,46,2008,9,0,1,1.5,132542,4.0,1,1,1,0,14,10
392,36,2017,9,1,5,2.0,1600,4.0,0,2,1,0,1,12
38500,3,2014,4,1,5,2.0,87000,1.0,2,0,1,0,14,12
8781,36,2001,1,0,5,2.0,260000,4.0,1,2,0,0,2,0
87112,36,2019,4,1,5,2.0,5323,4.0,2,0,1,0,7,0
1411,41,2015,4,1,5,1.6,87112,4.0,0,0,1,0,1,0
392,5,2012,9,1,5,3.0,204318,6.0,0,2,1,0,1,12
23521,8,2018,9,0,5,1.4,22000,4.0,0,1,1,0,11,6
16935,16,2013,9,0,5,1.6,83000,4.0,2,1,1,0,12,8
10349,58,2007,7,1,5,2.4,170000,4.0,0,1,1,1,1,6
7213,41,2013,4,1,5,1.6,312118,4.0,0,1,1,0,1,0
5331,36,2004,9,0,5,1.6,130000,4.0,2,1,1,0,1,6
20526,23,2013,4,1,1,2.0,200279,4.0,0,1,1,0,7,4
9722,23,2015,9,1,4,2.0,719847,4.0,0,1,1,0,8,4
34657,23,2014,7,1,1,2.5,154672,4.0,0,1,1,0,12,4
36564,23,2016,7,1,1,2.5,110969,4.0,0,1,1,0,1,4
314,58,2013,9,1,2,2.5,225510,4.0,0,1,1,0,14,12
5488,58,2001,3,0,5,1.5,210000,4.0,1,1,1,1,13,3
30063,23,2015,10,1,1,2.5,148105,4.0,0,1,1,0,12,4
15800,8,2011,4,1,1,2.2,255456,4.0,0,1,1,0,12,4
43952,23,2017,10,1,1,2.5,111643,4.0,0,1,1,0,7,4
53154,23,2016,4,1,1,2.0,84506,4.0,0,1,1,0,12,4
14740,58,2011,3,0,2,1.8,288000,4.0,0,1,1,0,14,8
42337,16,2016,0,1,5,2.3,75000,4.0,2,2,0,0,12,6
3763,36,2014,4,1,5,3.5,94362,6.0,0,2,1,0,14,12
18189,58,2012,9,0,5,1.8,175000,4.0,0,1,1,0,12,8
862,32,2008,4,1,5,4.7,263190,8.0,0,0,1,0,14,0
220,16,2009,4,1,2,2.5,193614,4.0,0,1,1,0,14,0
5645,58,2010,4,1,2,3.3,264877,6.0,0,0,1,0,14,12
7527,58,2019,9,1,5,1.5,27656,4.0,0,1,1,0,14,12
21953,21,2014,9,0,2,1.4,16000,8.0,0,0,1,1,14,10
8154,21,1998,4,0,5,2.0,0,4.0,0,0,1,1,14,2
21953,58,2012,9,0,5,2.5,195053,4.0,0,1,1,0,1,0
19121,23,2012,9,1,5,1.6,121362,4.0,0,1,1,0,1,4
36065,23,2014,4,1,1,2.0,69191,4.0,0,1,1,0,14,4
8781,21,2012,3,1,2,1.3,83000,4.0,2,1,1,1,6,12
6247,8,2010,9,1,5,1.8,40772,4.0,0,1,1,0,1,4
16289,8,2012,4,1,1,2.0,172000,4.0,0,1,1,0,7,4
77775,36,2014,4,1,5,5.5,433811,8.0,0,0,1,0,1,10
2822,5,1995,9,1,5,2.0,350000,6.0,1,2,1,0,2,2
549,55,2012,4,1,5,2.5,148213,4.0,0,0,1,0,2,0
6981,11,2008,9,1,5,2.0,103246,4.0,0,1,1,0,1,4
27284,23,2016,9,0,5,2.0,105394,4.0,2,1,1,0,1,12
32929,5,2013,1,1,5,2.0,160000,4.0,0,2,0,0,1,12
18817,41,1990,4,0,1,2.8,333333,4.0,1,2,1,0,1,0
4234,21,1997,3,1,5,1.4,0,4.0,1,1,0,0,2,6
15053,36,2004,9,1,5,3.2,214000,6.0,2,2,1,0,7,8
15458,23,2009,1,1,5,2.0,123346,4.0,0,1,1,0,1,4
2901,8,2014,9,1,5,1.4,80827,4.0,0,1,1,0,6,12
706,45,2013,1,1,5,3.8,64464,6.0,0,2,0,0,1,12
314,16,2015,9,1,2,2.0,91760,4.0,0,1,1,0,1,12
15681,32,2010,4,1,5,4.6,275240,8.0,0,0,1,0,12,0
26657,36,2004,6,0,1,2.2,300000,4.0,1,2,1,0,14,1
10663,58,2007,3,0,5,1.5,318400,4.0,0,1,1,0,12,6
12858,16,2015,9,0,5,2.0,91200,4.0,0,1,1,0,13,10
1019,5,2013,4,1,1,3.0,137802,6.0,0,0,1,0,1,12
549,5,2013,9,1,2,3.0,151586,6.0,0,2,1,0,14,12
12858,28,2016,3,0,5,1.2,107000,4.0,1,1,1,0,12,2
15000,5,2008,9,1,0,3.0,210408,6.0,2,2,1,0,14,12
85553,16,2017,4,1,5,2.3,100567,4.0,0,1,1,0,1,4
44752,23,2016,10,1,1,2.5,86000,4.0,0,1,1,0,7,4
17158,23,2010,9,1,5,1.6,122740,4.0,0,1,1,0,14,4
12231,39,2005,4,0,4,2.4,144000,4.0,2,0,1,1,14,16
11917,36,2003,9,1,5,5.0,150000,12.0,2,2,1,1,14,12
1254,39,1997,9,0,5,1.3,100000,4.0,1,2,1,0,11,0
94,21,2003,3,0,5,1.5,178000,4.0,3,1,1,1,12,4
25591,54,2013,4,1,1,2.0,85704,4.0,0,1,1,0,12,4
14897,23,2010,4,1,1,2.0,58962,4.0,0,1,1,0,14,4
23521,58,2013,9,1,2,2.5,90000,4.0,2,1,1,0,14,12
3450,46,1995,3,0,5,1.2,50000,3.0,1,1,0,0,6,0
706,35,2014,9,1,5,2.5,0,4.0,0,1,1,0,11,12
1019,58,2009,9,1,2,3.3,318358,6.0,0,0,1,0,1,12
16935,16,2015,9,1,5,2.0,71454,4.0,0,1,1,0,1,0
19444,58,2012,9,1,5,2.5,0,4.0,2,1,1,0,1,6
11604,23,2014,9,1,4,2.0,346470,4.0,0,1,1,0,12,4
51965,23,2016,4,1,1,2.0,59515,4.0,0,1,1,0,2,4
706,58,2014,9,1,2,2.5,115312,4.0,0,1,1,0,7,12
9408,36,1999,9,0,1,2.2,111111,4.0,1,2,1,0,12,4
13328,23,2008,7,1,1,2.5,74444,4.0,0,1,1,0,15,4
17876,41,2012,7,0,5,2.0,143000,4.0,2,1,1,1,14,12
549,41,2004,9,1,5,3.5,299709,6.0,0,1,1,0,7,12
20071,58,2008,4,0,5,2.4,135000,4.0,0,0,1,0,12,8
22894,23,2011,7,1,1,2.5,124444,4.0,0,1,1,0,15,4
2901,21,2012,9,1,2,1.5,146403,4.0,0,1,1,0,14,0
15681,39,1997,4,0,5,2.4,142000,4.0,0,0,0,0,2,6
39829,32,2010,4,1,5,4.6,155821,8.0,0,0,1,0,1,0
706,32,2015,4,1,5,4.6,102907,8.0,0,0,1,0,1,0
18660,23,2013,9,1,5,2.4,130000,4.0,2,1,1,0,1,6
22580,36,2017,9,1,5,2.0,50930,4.0,0,2,1,0,1,12
11604,23,2014,9,1,4,2.0,264872,4.0,0,1,1,0,12,4
314,8,2014,3,1,2,1.4,131893,4.0,0,1,1,0,3,0
5488,18,2013,4,1,5,2.4,138958,4.0,0,1,1,0,1,12
4300,36,1985,10,0,1,2.5,1111111,4.0,1,2,1,0,1,1
18817,58,2018,9,1,2,2.5,35058,4.0,0,1,1,0,14,12
21169,21,2015,4,0,5,1.8,33330,4.0,0,0,1,0,7,8
9095,15,2011,1,0,5,1.2,141000,4.0,0,1,0,1,11,4
1568,61,2014,9,1,1,2.0,82392,4.0,0,1,1,0,12,12
3136,55,2005,2,0,5,2.0,180000,6.0,2,0,1,1,2,6
17876,23,2013,9,1,5,1.8,117920,4.0,2,1,1,0,7,12
11290,23,2016,9,1,4,2.0,279787,4.0,0,1,1,0,12,4
36065,58,2010,7,1,5,3.5,227200,6.0,2,1,1,0,14,16
862,58,2014,9,1,2,2.5,130478,4.0,0,1,1,0,14,12
21395,23,2012,10,1,1,2.5,166144,4.0,0,1,1,0,12,4
15681,23,2016,9,1,4,2.0,258706,4.0,0,1,1,0,12,4
627,8,2012,4,1,2,1.4,188419,4.0,0,1,1,0,11,0
40070,58,2016,3,1,5,1.5,25807,4.0,0,1,1,0,1,4
11917,36,2008,3,0,5,1.7,180000,4.0,0,1,1,0,5,8
72130,32,2018,4,1,5,2.0,18918,4.0,2,1,1,0,1,6
35927,54,2013,4,1,1,2.0,137267,4.0,0,1,1,0,12,4
21012,58,2014,9,0,2,1.8,160000,4.0,0,0,1,0,14,4
21012,58,2018,9,1,5,3.5,27358,6.0,0,1,1,0,7,12
13172,28,2009,7,1,1,2.9,84176,4.0,0,1,1,0,14,6
15624,23,2011,1,1,5,2.0,107005,4.0,0,1,1,0,7,4
4547,42,1997,9,0,5,1.6,15000,4.0,1,1,1,0,0,2
5488,24,2015,4,1,5,3.5,124154,6.0,0,0,1,0,1,12
20005,23,2012,9,1,5,1.6,104997,4.0,0,1,1,0,14,4
36110,61,2017,9,1,5,1.8,27728,6.0,2,1,1,0,12,8
7840,36,1998,9,1,5,2.4,777777,6.0,1,2,1,0,2,4
470,35,2019,4,1,5,2.0,11566,4.0,0,0,1,0,1,12
1300,3,2018,1,1,5,0.5,4000,1.0,2,2,2,1,2,0
43880,23,2016,4,1,1,2.0,113700,4.0,0,1,1,0,12,4
29479,36,2014,9,1,5,1.8,69000,4.0,2,2,1,0,7,8
17249,58,2011,9,1,2,2.5,152000,4.0,3,1,1,0,14,12
9408,58,2003,10,0,5,1.5,181926,4.0,0,0,1,1,12,2
44213,23,2016,4,1,1,2.0,50255,4.0,0,1,1,0,11,4
8467,5,2001,9,1,5,2.5,252800,6.0,1,2,1,0,7,6
627,3,2014,9,1,5,3.0,164488,6.0,0,0,1,0,12,12
21950,16,2011,2,0,1,2.4,125000,4.0,1,0,1,0,14,2
706,15,2012,3,1,5,1.4,164574,4.0,0,1,1,0,11,12
3136,8,2014,9,1,5,1.4,156992,4.0,0,1,1,0,1,12
3450,42,1995,9,0,0,2.0,0,4.0,1,1,1,0,14,2
9408,39,1998,4,0,5,3.5,11000,6.0,2,0,1,1,12,4
31500,41,2010,4,1,4,4.0,90200,6.0,2,0,1,0,1,12
20385,39,2005,7,1,5,3.0,184000,6.0,0,0,1,1,14,12
314,36,2014,9,1,1,3.5,149486,6.0,0,0,1,0,12,12
2300,61,1996,9,0,0,2.0,0,4.0,1,1,1,0,6,0
7840,36,2004,10,0,4,1.9,170000,4.0,2,1,1,0,12,4
56450,58,2018,9,1,5,2.5,25000,4.0,2,1,1,0,2,12
1490,61,2014,10,1,1,2.0,113214,4.0,0,1,1,0,7,12
627,58,2012,9,1,5,2.7,394069,4.0,0,2,1,0,1,12
314,36,2014,9,1,1,3.5,149486,6.0,0,0,1,0,12,12
13172,21,2002,4,0,5,2.4,260000,4.0,0,0,1,0,12,6
19757,41,1990,4,0,1,2.8,222222,4.0,1,2,1,0,1,0
4704,3,2013,3,1,5,3.0,301707,6.0,0,0,1,0,7,0
706,23,2013,9,1,5,2.4,175827,4.0,0,1,1,0,1,12
5802,36,2013,9,1,1,3.5,107800,6.0,0,2,1,0,7,12
25716,58,2014,9,0,5,2.5,115200,4.0,0,1,1,0,12,8
14426,8,2012,4,1,4,2.0,132036,4.0,0,1,1,0,14,4
10820,58,2001,4,0,5,2.0,91000,4.0,0,0,0,1,12,4
45436,16,2011,4,1,5,3.5,129177,4.0,0,1,1,0,14,4
11917,23,2008,3,0,1,1.6,201000,4.0,1,1,1,0,1,8
41281,23,2015,4,1,1,2.0,185811,4.0,0,1,1,0,1,4
4391,41,1998,9,0,5,2.4,358400,4.0,1,1,1,0,3,2
